127.0.0.1 - - [05/May/2022:21:39:43 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/bootstrap.min.js HTTP/1.1" 200 59969
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/jquery.animateNumber.min.js HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/jquery.waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/jquery.fancybox.min.js HTTP/1.1" 200 68196
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/aos.js HTTP/1.1" 200 14212
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/jarallax.min.js HTTP/1.1" 200 15250
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:53 +0900] "GET /resources/assets/homespace/js/custom.js HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/tour/js/moment.min.js HTTP/1.1" 200 53324
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/tour/js/aos.js HTTP/1.1" 200 14212
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/tour/js/daterangepicker.js HTTP/1.1" 200 65022
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/tour/js/typed.js HTTP/1.1" 200 11662
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/tour/js/custom.js HTTP/1.1" 200 5522
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/bootstrap.bundle.min.js HTTP/1.1" 200 78134
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/tiny-slider.js HTTP/1.1" 200 99867
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/flatpickr.min.js HTTP/1.1" 200 49670
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/aos.js HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/glightbox.min.js HTTP/1.1" 200 54228
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/counter.js HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/blogy/js/custom.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:54 +0900] "GET /resources/assets/property/js/tiny-slider.js HTTP/1.1" 200 99867
